Voter Address,Voting Power,Choice,Total Votes
0x56f20CA7895988CB04a10bE5E8A1A62B50C9ebE1,100000,2,994
0x300871C1c6024F8F9a7Afe3Bf22f3D538c8b96AE,20000,2,994
0xEf14aB5C5Fa4F39131623940Ee7e35a9190CD1d9,0,2,994
0x64f8e38e19c1B6992969Dcd5769c149951018Af1,100000,2,994
0x76918841298C0EecF0Fe9409CDAD3000320666ED,100000,2,994
0xe4fb9ca52E39B83BE69E74E7Fac8f807A9c16eF9,100000,2,994
0xbA00D84Ddbc8cAe67C5800a52496E47A8CaFcd27,100000,2,994
0x856DC4a12f08AFA49f42B52F81769A96505f312C,100000,1,994
0xDc5b17F7e80Ba5f2C06E9d04bd202d394165E093,100000,2,994
0x9960f4bec13A815BB6b714264A56413EbfA4Af49,20000,2,994
0x996A5847DB33320dE8f88c4011734826C3945E71,20000,2,994
0x646688E11539C9b5f7AC528f125B5764e4E172f6,30000,2,994
0x6DCcEdAC5dA6c5fA8cbD7E05e1cF24D9D08C52aa,20000,2,994
0x9E2E00AaB67c3A7B827eb3e431c4A6c2077510a6,100000,2,994
0x2bCa1582cE551D17101314fb199162C15F951506,280000,2,994
0x01AB07010c2F4bf5971537669Cc19d5D8Cf320A0,100000,2,994
0x95B92259AADaD128010B010622C65EEF5407de78,100000,2,994
0x981CaC16246D9641bE07BbA6E19E304b74B173BC,200000,2,994
0xc78652Eae0b73256F0598ddDA47B6814B23a8D8F,100000,2,994
0x5248102e1935eB8Fc65bd5Cdd3d775672666Adf7,100000,2,994
0x4e5f413f5c5415B4E3F4615C3a0AFFa5Ba8c43B7,100000,2,994
0xeB6772188Cf10Aa563a1cD163F48355d1a949797,100000,2,994
0xC397a2C2963e3181883B7135a7Ef1bA85E8cEb82,100000,2,994
0xBf24bb6cE53FE0fF68f08A24891cf40A4fE3DCF5,100000,2,994
0x8aa4243Ef5fE3D6ebe375fA6D47A710266Cb0CaF,20000,2,994
0xed51F33243F0bbC621ed3c0b1671946b50e137CF,100000,1,994
0x92A0b2C089733beF43Ac367D2CE7783526AEA590,100000,2,994
0xD6587a974C7D3ecE23Fa53d5606da6B291311F6f,100000,2,994
0x847580e89c39e4db7C04b52e0DACb1636099a05d,100000,1,994
0xa36571cc418D442208590C964d88f844B554A79F,100000,1,994
0x79BD0e2F5101546a4F9AD68029c63CCBD14c2b19,100000,1,994
0x5A59835Fe22Ae40634Ed6BEB9AFE037D30E6FF3D,100000,1,994
0x87BC8110EBB0fE65C2a83735fd2c6789f5E0206A,100000,1,994
0x677B9e78A87e4423CB78AcC7B0220C244320Af70,100000,1,994
0xA2052c7253549f302b018Ac2f35773fdB4e8dA03,100000,1,994
0xc91D5Ff242Ac384b8f3E89fEc0BB1fC3B3547cd1,100000,1,994
0x54130F3e15b14A772a9889c420A3D41E6b08F3E1,100000,1,994
0x708D069A2eC4B4af7A8e604c81CA544EF91e5890,100000,1,994
0x6E6E5c05966373E5f55d82E6eebDC4bCC002e146,100000,1,994
0xf92cE1cA21469Ac03c578611A5F49Af21DD2d427,100000,1,994
0x8D071D4885f71f4e34bb3b4B2f7AA719768286D2,100000,1,994
0x26F784684826Ff38f93471bF5104fa06766fecb4,100000,1,994
0xBfA62BAfBE913971F9BD35eCF4c0f2aC2D7bd2dD,100000,1,994
0x2802907AB681298D35CE2EAF2415550137C40c8A,100000,1,994
0x11E73dB029BE1aD9f118d17783E4F8905a277C52,100000,1,994
0x1aAa8d951C6c74F6548bd4E89a1c54FB5FCD0Ac2,100000,2,994
0xc075cB4DbBC64983B8c0aA90A0C09e9cEB21f692,100000,2,994
0x2fe59a3d4379A127adb934bcb9fcCcf2c770Eb97,100000,2,994
0x830782f67ab6788B8570392A363a97c748B763c7,100000,2,994
0xF7D449280542666e941CF45C6eB9eCD4FA784221,120000,1,994
0xD4a2e2c1D166F884Ea2DD8232E42d9acf6897F28,20000,2,994
0x2416Cf24497E42143BAF2345d02899bFEC67a707,100000,1,994
0x52f7a765993b0833A15b5BAEf6Eb63c6f74bAbb1,100000,2,994
0x6a43Cf422BB521b6BCC1Efa5C31C09cB1Ee9bdE7,100000,2,994
0xf08Ea68E12Dfd29b714F4DDB3C141F404e5F578e,100000,2,994
0xa7E4047A890809126A7bD208456A44D1E422F398,100000,2,994
0x1b121EAca7A5C80CD6850533636574c39AA866D4,100000,2,994
0x8fd05381267eEf20d82536E93848E8a7801AAcF8,130000,2,994
0xFDAb3be33284Ef68442F55535ffC0b1FCbad2B62,20000,1,994
0xBf592177E1918ABEC7c9D435157b76f52601DdB4,100000,2,994
0xa8A0C6894a1090c189Da1Ee93C2fC1dA22a6725e,100000,2,994
0x2F595C056e785E13579128DF27cAD2968d034BA4,100000,2,994
0x7102d0419B36B25f799821312438B9854Fe9F64F,100000,2,994
0x9D69Af94363adaD56bC5E4CD7ac834E4cf1DcC5c,100000,2,994
0x7A13aFce4D1b72c356C8e5678F057c1587E042F1,100000,2,994
0x875d6cF79A7F194412e783F003b88fCda219C0e9,100000,2,994
0x40A164d2866212E5e90f86F829Cbf694F0dD38dC,100000,2,994
0x13bb2fdB098cCFe452a9079909121F849599AAEc,100000,2,994
0x1D59a5bA22670510e78ED503D894D6B70e424b4E,100000,2,994
0x8115A772491Be30fcd4b00Af6182B78263607128,100000,2,994
0x32a24709F24e77a0B8A04A4cFFB6A220d3ce7eD8,100000,2,994
0x2e5d978814DB3Fdc4a3CaF53ED76224b0B84238a,100000,2,994
0x48ad1Ddff1771775E5cC9c02fd22D8bA3A9F4AfE,100000,2,994
0x46dabF02c6f80dc6A69726186Fb96cf6da5C891F,100000,2,994
0x7929B3D66C5C79c99Aa346a59927B56b592E3D6E,100000,2,994
0x47bADdF07c885EB788b95175122db069f18b2176,100000,2,994
0xD03e468003E45cC30158d6C9ecA2BB0f83558e04,100000,2,994
0x3e03a72b6dd9081dDDdc3C5983E501F75B9Fcc92,100000,2,994
0xe1B7a85B4fC837a4b9Db9841420ef1231c95Aa7E,100000,2,994
0x2f8d892c93661ab73fA1FebE7b6DEd77ec4b33E7,100000,2,994
0xb68C08040530fA7fd879BDc02F8c5AA45bD1Cd89,100000,2,994
0xC8deFBB582f03D05636bb95f1a55bc9949f0791B,100000,2,994
0x1A1A5047A226C9d673c03a8f5Cc45035FbFBb00F,100000,2,994
0xf0A416191738D91E0F657409fe954866C088502D,100000,2,994
0xc95C7B7D08A38e08F67ae2f7dE4D3856C76FFE09,100000,2,994
0x210fC4B677C5c84233428afa8c2df3A130816DF0,100000,2,994
0x70a60249aEC1fd70eED0B6fd5002DB4FED2328C8,100000,2,994
0xA1a52925369C3870aACF26dEcf7A8727e5a47FB7,20000,1,994
0xD2594436a220e90495cb3066b24d37A8252Fac0c,100000,2,994
0x3720302e025CF81C8d18AE98Dfa44eae665e522c,100000,2,994
0xCd2d66BD37ed4Eb77F5635726aC2273ba17d988b,20000,1,994
0x4abDF782327d3447f614525C842571E8172ce5a9,100000,2,994
0x1e39cC29009ED4760c186d8771295c1E224882d4,100000,2,994
0x2BE21Ec97C340301E903F65F66901a23C48f4873,100000,2,994
0x6977e753e022F65eBEb170d8267b2EA54a431523,30000,2,994
0x18dbF54620E3A7728B7B6746E39238135DbA685D,100000,2,994
0x245F4A734C7cbd1A22bE7c630D0E0D71E5f0D1BC,100000,2,994
0x4467B3e697336c66086800E42bbc1591E01eCF77,30000,2,994
0x103b73CABfBd85c5461b532267401998A27F5b3b,100000,1,994
0x00Cd5b6245e43717F7dd96A9937C74a7F75271D6,480000,2,994
0x5BfCD9Fe67A606A6B6756DB3db647ea166E91AA0,450000,2,994
0x8875a6B3E85fEbF1F4773CcA059A8c0C6DdA6485,100000,2,994
0x09DA2d53C9d7e569e428b7F4A5c82C7CD855a7D4,100000,2,994
0x2e5deeA25D69770Da6E7a4dE0263cA4115d3D5B6,20000,2,994
0xB91E8c6D109802965af67950ec13d7BAE8495408,50000,1,994
0xf55c009668Ba9c739211178a0211Df15A1F81a87,100000,2,994
0x19Ad3bB2dEDB212f3E9D4028D36648A480A9c9a7,30000,2,994
0xA50fbfbDB99262Ad4c1E12B607Ad379952D5BF75,100000,2,994
0x3eB72A65F9322D3f30167cFF9FC9fcBb23D61cFd,30000,2,994
0x49c480ceAE7fE950296513A12512a3B25226B4B6,100000,2,994
0xA884A2F1A5Ec6C2e499644666a5E6Ef97B988888,330000,2,994
0x7f848122152AaA1CfA50eB0E3f97c1aF6cb74E99,100000,2,994
0x7781BE4c68f31F997Dcab1A9b8D5E42282C3faA6,100000,2,994
0xa21C7d94B9B1a4739DAC70F2A442f70f399C897c,100000,2,994
