Voter Address,Voting Power,Choice,Total Votes
0x0381048a528e80E384D5D9fD803226588B1eB65B,30000,2,664
0x35A5cD1F50Fec2d6dDf57bd58c6790c995bE5B9E,100000,1,664
0x9e9Bbd60b1f2a177d11280636fFE4892A89a5912,100000,2,664
0x0c77C848FEbD7CEe88B89E89975a5C45Eaf540dF,100000,2,664
0xd7F6bad6Fc716b889F84a94fEE046188f08988ce,20000,2,664
0x3B95E1d7a31B9eD35430E81e420997d49FfA8548,20000,2,664
0x5c95482329D44397d88AC5e1AcE402cFA56837bD,20000,2,664
0x727b7565a8169699755e39b8b100eEFE423aEf90,100000,1,664
0xd19Fd69bFDC2651272c523DF8408738Bc1F93104,20000,2,664
0xF42aD66F4b66628584f2E97421A008d62A8f116c,20000,2,664
0x536610051E28D3747A7CF9C458F81A5320A86e14,30000,2,664
0x3d909b6cB958a32f1A6e0D016C387A3a2C8DeCd1,20000,1,664
0xc05F972729351D7DE4C7969A1c02F059f9A04d3d,100000,2,664
0x0CB0F554A2e8a5B7B5634F37840B037214925815,30000,2,664
0x356c3A04CDd13C2FB50B9dC505cC816cE4a92ab9,20000,1,664
0x5a13A8a51586Bed02488bdAdfb3a0351b661f0C4,4000,2,664
0x44dBbd4846DeFb5A74425b79C15691B733467a5E,20000,2,664
0x6005A6Ceca713a5ad5c247f5c11571D5BDA61D7C,20000,2,664
0x3f362662D43546C0EaF9d97C4b7A624470CEd570,120000,2,664
0xa70a2b71E99cC4ae739C4D848a15DfA8BF2f1A4F,130000,2,664
0x06F398ce76aCc1fCE97B7Cab0eb2a96BA9230c9b,100000,2,664
0x09DA2d53C9d7e569e428b7F4A5c82C7CD855a7D4,100000,2,664
0xfD6D004e713e809292007C4F70dAF12894a2b394,100000,2,664
0x2EEbe34227a023035db26421Af47a2D48DAf6Ca1,100000,2,664
0x3058A0D5e8E1A7B15dbF13eb3d411ee3EFea70D9,130000,2,664
0x5BfCD9Fe67A606A6B6756DB3db647ea166E91AA0,450000,2,664
0x1dF2535cf0956AbEC21C4738534885d3849d6578,100000,2,664
0x0a9A04F289e1237c978d9ED375EeebdA73EE97b1,100000,1,664
0xd3C51F11a7cc1d7cd17a4Bfe2D770899366e6504,100000,1,664
0x0125054443c774AC1009187b54bd6B035ee4C61a,30000,2,664
0x9Adfd762D997bd382028A579Bb68bDD49d97493c,130000,1,664
0x325e231870461bBAc93202D035EDEf04838F4886,30000,2,664
0x658c7e40FB5426708E21eDDC4e2775390EeB42c0,100000,2,664
0xa31e0765Ba50b834bF14b38fffebBBe65a04bDf7,20000,1,664
0x6C13FC8EF50144A21702415d57ece0A09879fCFb,100000,2,664
0x14A6F0B44e662C48d6C32285eE79422bBeFe9d03,100000,2,664
0x63693A8544523d23aE490d88e88baA404C867574,130000,2,664
0xD022AFF371F2b0647b90fdAC50746d26192C4e00,100000,1,664
0x78E0fEf34547D4e8C794915CaB7Ca514Bb30d222,100000,2,664
0x35BC82F70BF46ffBa5269DF8DcF636b5D9d184b2,100000,2,664
0x6eBA5B898e9E24C1Fd0062025eD96fA751170eC4,100000,2,664
0x9DD87184D2B4945437C2671A277CAB687BD8AB47,100000,2,664
0xc127c110CeaDe7370C8B327287F2A669Ec7E93ba,100000,2,664
0x0251A94286c3a2cfebEFD2558b916B7A6c180476,100000,2,664
0xDA8A4B5614B3B9Be817e3454321B1A727f968e70,30000,2,664
0xdD3703b76943F86Ee05080DC1D67E978F05e74b5,100000,2,664
0x71B77606190d9162f7fC671DcB92820b1B4bf7c5,100000,2,664
0x3902a4Bbf1909363Be72F2C1F18b0F6f811e82b2,100000,2,664
0x047C4d7Af709ae19D3BBbD5F9E10461d2554dA00,230000,2,664
0x4E07ebB283634233C2348ec7bB059995E6553da6,100000,2,664
0xF627E5F4BAd95a956468d8BB6Ee20b119F992E96,120000,1,664
0x5a81868992Ffcf4200A85972c60151690Af39006,100000,2,664
0xA08A327D9FB9f2be150Dd7b7c20f077d3A997FEB,250000,2,664
0x475681F0e12606cf8f97743C1d4558C06a287840,30000,2,664
0xc78652Eae0b73256F0598ddDA47B6814B23a8D8F,100000,2,664
