Voter Address,Voting Power,Choice,Total Votes
0xB0AcCc44Ab20bF8e2542C23bb3d496fbFCeC849b,100000,1,580
0x69345096382E4E846b1fB002C48c7dF0ac1B129d,100000,1,580
0x7A4c6e32C31a56bdd78DE86970180D8A0D613F57,380000,1,580
0x296897C5b419C2217719dc699d244e595d675d07,100000,1,580
0x505623a473a88Ec883ce42e7572503FF33eb80B7,20000,3,580
0x000158E60C393B51fdFAc71B14Ce70b70148C326,120000,1,580
0xe462eF298f6E6AB59D9CDc857c5A6a07C067dbee,100000,1,580
0x481bb04f60DD1F7d6EC0A3611ed8023e618697CB,130000,1,580
0xcEAb59a5BCc4cd218dD1E15f891E85789c83C7e3,30000,1,580
0x49E53Fb3d5bf1532fEBAD88a1979E33A94844d1d,100000,3,580
0x955c75600e91B6A96CeefF826B45b963ED4A5Cc9,100000,1,580
0xb2767a14CABD82D7AdE23F4e810a718C64acEB7f,100000,1,580
0x177821CbE97b3eB0a20de1FD534bC7160cBCd76e,100000,1,580
0x7F7bAc92AA3e28351F9E89535CA334e8A44542d0,60000,1,580
0x8E1700E063D4341930C0D071C168D17E506caca9,30000,2,580
0xBf197ed412DC301867F3c6C82e80024348d0d67E,30000,1,580
0xe92Da269bbF46e3C5F194Dc65a1f59b09b793a10,30000,1,580
0x0fb680e7de03F32bfe31e774ec10AdF5bD5a5f6B,20000,1,580
0xF30FC56264d65F241d5b2f0C861BbFf7555656b9,100000,1,580
0x5d6a0c304097E0EF19291f57fD63d5151Dc1fDb0,100000,1,580
0x554306813001dF510896140516FF281E88f87d62,100000,1,580
0xA80403681c6F437dFC40d9edB0B0C02f47F8a076,100000,1,580
0xEb56B3A0474462Cc501D94100719B07159430B16,100000,1,580
0x0125054443c774AC1009187b54bd6B035ee4C61a,30000,1,580
0x66d5B45c3BDa659bAA794D13e9A82dfefE13b7a1,100000,1,580
0x751747b1d099821784876B6Dfe7A15B81E064b93,100000,2,580
0xB745A2BAc46D68bdECD023C867773627D48fE1A1,100000,1,580
0xa493C543c06cCf09F7fa6B8F658FE322585Ed5D7,120000,1,580
0x3037E656D033C951574AFB02E409a91D93B2cb73,100000,3,580
0xd3C51F11a7cc1d7cd17a4Bfe2D770899366e6504,100000,1,580
0x0B1f8Ee2f813f06aC5fb8aad74AaCB71fb2f51FA,100000,1,580
0xF627E5F4BAd95a956468d8BB6Ee20b119F992E96,120000,1,580
0xF123f854F32Fb3A03089C2A343C094b716629C59,20000,1,580
0xA55e93fD3CCe2cf40D43824B2f18889F404dDf57,20000,1,580
0xa8E9e4d0f213736b463eBEff5b92DC8EF873f772,100000,1,580
0x3Ae7783B7FA466E2c9197E60C05c84D6683CBC53,100000,1,580
0x379E74ce213aeA70ddfbFE868D78e8C3c882260f,30000,1,580
0xd9220628480F074Fe8D1d9A493C0369E6C4FEf0A,30000,1,580
0xa45080b1d89D9e0E848AE05fd942Ce24cE9c3cA9,100000,1,580
0x00ff6b7D26407A46Af2b631b4fa452a036d027E5,100000,3,580
0x9d054534FD9483af585cE8b6127aa1FBfFc331B4,20000,1,580
0x5B191F5A2b4A867c4eD71858dacCc51FC59c69c0,100000,1,580
0x9b458316b2a460108b5883a5c76c4a712600D721,100000,1,580
0x0fB213a1Af101b1429e6aD3020ad92Fb0D25Eb1E,100000,1,580
0x68f66Fac4B02419496a7C1D5Ad5F093Ae67e6E50,200000,1,580
0x1E2fCe2E2A821c254FC4E53b373586af07ED0008,100000,1,580
0xb7d49ADB031d6DBDF3E8e28F21C6Dd3b6f231cD5,120000,1,580
0x3939d22aF089BdfbB96322744234F69dB1aB52F8,100000,1,580
0xAa01DeC5307CF17F20881A3286dcaA062578cea7,100000,1,580
0xAf11b3B0Ea9C697e92ABDa3D89D5c942fd4E335f,100000,3,580
0x444478fF49a4A113868b75c48f51b6bd717DfcAF,100000,1,580
0xbad19B2235319DF3c6A9549b8e1044312A274441,100000,1,580
0x78A18DdEcDa44F7d298d9B37512ED8a7f6B226C7,100000,1,580
0x117f704752Aa4919Cc1bd1818735607E68216cAd,130000,1,580
0x0e04B904Fe7E57dD93a5EE3beD581D78AD7356a4,6000,1,580
0xda8639ebaDE510607414fE396E98171280EE86f1,30000,1,580
0x93FA50b05a48eD9a5F11653952543F2f41cf7425,6000,1,580
0x1146dA4bec5034E7D03A5277cEd0d66d3A223DD0,6000,1,580
0xE85a5B0eF8E4690FEf2b73cf94f9576a1C092c87,6000,1,580
0x92dA9398d7fC1a9A005a730F2433F697215E75c1,6000,1,580
0x5F6777c4a4f6be1fb40702cAaBD06A660D56a42A,6000,1,580
0x6b9137bEa4aa33B7D06C74b7678d88da889e0051,6000,1,580
0x79F3DDc535BC7cE363b0f43247DA8f20e68f0a27,30000,1,580
0x5244736b3A8F898149aE33f013126A20cE7abc62,30000,1,580
