Voter Address,Voting Power,Choice,Total Votes
0x2b69cd0C2a939ceC035AB78CA40d186EF1D6F865,100000,1,915
0x444478fF49a4A113868b75c48f51b6bd717DfcAF,100000,1,915
0x78A18DdEcDa44F7d298d9B37512ED8a7f6B226C7,100000,1,915
0xaec80B4fbE227198720b1d1B82a12968bAA0B144,100000,1,915
0xD754f7550f01121bd347Fc50E939d6A991BBe3BE,20000,1,915
0x7738221d3A5f489AafEfA11cAeF759B772FA6652,20000,1,915
0xF627E5F4BAd95a956468d8BB6Ee20b119F992E96,120000,1,915
0xEa8CDB581e5F46491F03e25fe36b095df5Bc1117,100000,1,915
0xaA15E4D7cFFCE710D8c9488a355C4570dbDec32b,100000,1,915
0x81b6a3832E6D0174DcB07790364289d16cACd133,100000,1,915
0x6Ec584083701936eC4383C6c902c4df45D86E7e3,100000,1,915
0x8e3f5e7578B9e0f4B9Ab65C85568C8F80aEC95AE,100000,1,915
0xe63Ba03F3399ccDbC346977482920c7F782649B9,100000,1,915
0xd0B8713F219D91DFaa98A3807764E700AF5C5546,100000,1,915
0xE37A6e88Af2a5DC2a86eEb6A03aCfB1ed34969a5,100000,1,915
0xCa695144Ed80D2E5F10C8938c08dfFbf2516a170,100000,1,915
0x7E8a2C10bA8901F793e900f1A0A2728a75Ccab48,100000,1,915
0x2e102B2f815c48505E5691Fb17fb8E0459fF9d80,100000,1,915
0x2EA58CfAE2E5623711047778524Be7Fcb371f2da,100000,1,915
0x3Eb7F9D036De12740136DdE90727C9DFE2B8eD42,100000,1,915
0x678252Cd85e79d0022C6e8FcDB09cF3771ec1e89,100000,1,915
0x12478d1a60a910C9CbFFb90648766a2bDD5918f5,100000,1,915
0x1DD7C29dbA3CFC8cd64220f7331E214a791A5989,100000,1,915
0x1FE6A806E0A9858359E16C58e4f84C790171596b,100000,1,915
0x89768Ca7E116D7971519af950DbBdf6e80b9Ded1,100000,1,915
0x63dED784c8Da63A79eE47f9a53BcB1BAD1d9F3e0,120000,1,915
0x64B7fcC8C17540139BDd84d00c7261035602Cb66,100000,1,915
0xB3430b686daA829162D2aba22C815Ad3B5882f00,100000,1,915
0xFb7890AC95a49B48c458013b197992189C8D3407,100000,1,915
0x8f2a378B4b831BF5164c8E5b8A72C094D090513F,100000,1,915
0x16D69a835C012584783921B2e4C622F157Ce97BF,100000,1,915
0x245b36feaA707c82Df89c042d5E10ba312713710,100000,1,915
0x0D72A35DF86eFdefE3593b50BbD9EdecFA5BAAD7,100000,1,915
0x3FE25fB31F9E33938f2A530A298E995499879C5E,120000,2,915
0xBafABec764495Bb7a303eeF892d39863A063cc1D,100000,1,915
0x1BdCa6a46d69efE0B4c7b1Ac962f240e0e1F040c,100000,1,915
0xdAb48Ff04BA44C51AEEdBa2A68A746866040a38D,19275000,1,915
0xa45080b1d89D9e0E848AE05fd942Ce24cE9c3cA9,100000,1,915
0x9B62A7eD23E6e2822EE8045694ef0dB9eb099CC7,130000,1,915
0x86B96ee2D35d42CE2adB91FEc0FE59109f8b4d99,20000,1,915
0x5d47e5D242a8F66a6286b0a2353868875F5d6068,100000,1,915
0xbB072b260E96C81289396ee79F1caEf5D3e9D049,100000,1,915
0x02766E3d25BDA6badcD34d7BCEA5bF054990444A,100000,1,915
0xC71deD6f0E5660DFe79C849058Afd9BE7a3c85b8,100000,1,915
0xd976D3Cc17D109889037175B2472aF6CA970302d,60000,2,915
0x4d26bc95C771d1d0a5c5E76297c8F53FfE5f6C19,100000,1,915
0x5a81868992Ffcf4200A85972c60151690Af39006,100000,1,915
0xD1549131c3f33B69f31f3Fc6D581d49d6c8dc6f0,100000,1,915
0xe4B598540D541A6a5329469cC65fA9Df5D2d34B1,100000,1,915
0xFdbBfB0Fe2986672af97Eca0e797D76A0bbF35c9,100000,1,915
0xE953BF9d0Eb865181Fc887a78663a8831379D296,20000,1,915
0x7e41D4507B8A36070006066BBd94C8a5814c6EeE,20000,1,915
0x824A482E346674E66cA8C253E54bD9531Bb5bdBe,20000,1,915
0xa2F82e0FCA70e24ca98aC7812CdBb1D660A70C1F,20000,1,915
0x0eEa6283f392EBaA440747a958314F62854b9c54,120000,1,915
0x381351f693Da46e3800897950720C0aC6B89C78A,4000,1,915
0x29211f9b98b0AB9Ce4dB642ee4E90cec05d95A7a,4000,1,915
0x3873F5e82ee3A84284ac6b95b2E3d2D43945aE1A,20000,1,915
0x5d4f320Ce7Cdc29d68843caFdB16140686a27320,4000,1,915
0x7142303E564c0a0c466B51495f12d10c2DBc8B99,20000,1,915
0xdb24C5b3D5e29Cf6e9d623607d0bd1dC1CD15238,4000,1,915
0x28462AC6B9D85d675C7e88252742BbD794720799,4000,1,915
0x3085255A678Ab8Ffa73f2a279EeA547E1b684fAd,20000,1,915
0x4A34CC34Fa9D6051B008fAE665cD67669188dC35,20000,1,915
0x5c2B50161378A460B246a71e9dE1BE20cb1491b9,4000,1,915
0x227ba5CEcD72C261c297015C1114E050B6e50F5F,20000,1,915
0x14c99531C09d72bEE19e762956f577E95ffef918,4000,1,915
0x1AbEf1717803CE81190aFA035a27Bc67F6Df395F,4000,1,915
0x69eE3E2d622c8371bF736F76412eE251a1cF6739,20000,1,915
0x168A9E6D755b79f72215D035a2773b2Ca7EC4daF,4000,1,915
0x93868853553861406fb76B1A1888bEC08C65EF2f,20000,1,915
0xf7590e910E441919097d66104A2c8Ef33A8B9A2d,20000,1,915
0x6344634CDAafE4eA5c1087B7ABaBeF025734ABaA,4000,1,915
0xbf2D8793175228c7632E2dBDA3D7970CaE38157a,4000,1,915
0x0c75B628437079281d17Cc1058Eaf198D20A58E4,4000,1,915
0xB7550aB35a54812ACc1a7e970230Cbb5BbF4a89B,4000,1,915
0x9Fb7563A1969f034e8FeB83e499C967D31538E86,100000,1,915
0xb9012C52F12d943E2fE122a662367a86dddDc97F,4000,1,915
0x109720A88EBE0f1452c94dC3a7146EbD9E5306fd,4000,1,915
0x17dAb33EB5518a7cE98D5AFE8637157003ECB05A,4000,1,915
0xFB75225430204aD36bDa5734D7620845C7490A37,4000,1,915
0xFEC436Ee6D59CcBd59004665Ec28332BF33db1d5,4000,1,915
0xA1a485AE7C3d6a3C1990cC9d2F053977662b576B,4000,1,915
0x7f45A8eebdCc5c89f00bCc4E64D00174EE9FAdb9,4000,1,915
0x737861D5363F9C01833C3462533d8b4a3901604F,20000,1,915
0xFbA0CBeC4286801662d35294E9eeEd59b44D6EaB,20000,1,915
0x063B9048Ce041E2ec4a55CC059bE62d28E2Cf9f5,20000,1,915
0xeB3754FA954aCF7de2bC7D21ad3A9332cD76A4b7,20000,1,915
0x0942beC6bB968339f0f7A3989d1B92CF120f8413,20000,1,915
0x6bDE88aCB8270e94C8F299d15F41C1AE2c5f6a10,120000,1,915
0x052f4734f6A9490eAebac1a446EDBe7337FB3AaA,120000,1,915
0xA2B52E6BbF02341a7FA80D7f3099411ab3Be977E,120000,1,915
0xf05B99836713084332ac65B035fc381478F55651,20000,1,915
0xf8a6A82D17b54eab7De4273c5E7644E27ced3A09,20000,1,915
0xE95deD321146B50B474ca4BA494793ba0972400f,20000,1,915
0x2790f55b9D7F32DE695805E40c9B550881aC8966,20000,1,915
0xa30420a8927ae33A273c9c7447DDD3BDd74CcD43,20000,1,915
0x28AF94f79e177A6FD73c1D0c98b08816F96004A1,20000,1,915
0xECAB41cc46b3dF7f30e6114E47f71Ffc683a391e,20000,1,915
0x13f6A73A5fcBD36F149C49e94274b9e28fAaf1a4,20000,1,915
0x60913b55ae54C325be3a8960536f1266aA648197,100000,1,915
0x171814DB6DcAA27d2f88B1d31E306ABda53E7526,100000,1,915
0x2812fae23f56140A4A207876e375aE410CCE1875,20000,1,915
0xFd89D2566ea385FE46904640CD570b7ce638141b,20000,1,915
0x4BC6480367e6E572E503b2B6b579031105b3c5C8,100000,1,915
0xbb8Cf94E0430818982264D429D42578b491dD5d3,20000,1,915
0x7558899d8109D8a2CE457837ADE56C3d6eBFE90d,100000,1,915
0xd03ED048Bf24C98Ae45Ee0C6c0F76f8066B7CaAc,4000,1,915
0x59120199B71A63f1f7E21f22945a1f2922E4Ca8C,20000,1,915
0x76024694Ed557264719683b0ceAb8Df1a572262e,100000,1,915
0x8C76D77c63Fbba9f82C7a2239ECc1E7e8E15Ec10,20000,1,915
0xF0A82EA8cB867eF4a4252E94A05092a9e450CdDD,20000,1,915
0x1c893243bA33e8FBDbB8b7ce6CEdccfbE6AE40e0,20000,1,915
0x2b4A83AC1C5D523b4cd9b91a083f6e7252f1FBdB,20000,1,915
0x4D5e3ccEb6509285d7a1C292091fdEad618f8494,20000,1,915
0xbf344337111369A2784A61316003D4F5fC3b62b8,20000,1,915
0xEe846c7B64eF3B594F1AC16cC067DE837A24a71D,20000,1,915
0xaa88474ff9aa56071D2822459E86Fd34b59Af5bd,20000,1,915
0x78f0Aa3f3984910e18F4c17220EE26c3937FD11c,30000,1,915
0x242F20589E3AA594d5014A58501f376861984f65,100000,1,915
0x810d3AABbBf8CbCFf5C256f2B0621c4941f8B139,100000,1,915
0xd0d55EABC23f2e0adCB26e638b02C4c2379859fD,20000,1,915
0x73333dE9B96A7363fA6F22F987ecf02e85984C95,30000,1,915
0x50bce6Bd28aBA7e531ad1f0993a4eDFde6Eda34F,20000,1,915
0xA03658f7D84C1D269A708f0847f7Afa0E53c65D2,104000,1,915
0x5c95482329D44397d88AC5e1AcE402cFA56837bD,20000,1,915
0xd7F6bad6Fc716b889F84a94fEE046188f08988ce,20000,1,915
0x13Ffe2a05c797333B9D421a95eD8F4134154399f,20000,1,915
0x604876B1228f7C0dB1493D0ce84283007b06884C,20000,1,915
0x739B9eDaBC1A9c638eB9fEFA1080194a73Fa788f,4000,1,915
0x2EeD49E5416db80076392c3E46F4C23B93E59E19,4000,1,915
0xea4F039A80a061d73Ab0A357Dea963Ce6D7d617A,6000,1,915
0x6dfb4E382a3c17903479F341CB166660352265fb,4000,1,915
0x4995D9170046518e3D2A3cC2d27d8B669347fA60,1000,1,915
0x42F2409eBD1862E05b4540155D3a49f83e628B33,4000,1,915
0x3B95E1d7a31B9eD35430E81e420997d49FfA8548,20000,1,915
