Voter Address,Voting Power,Choice,Total Votes
0x4AeF8B6CA98cA20087E6b0827a50868172A32AFd,30000,1,1332
0x787c8bE38E968Bd0b41eaAbe0b69d1c32ea09262,30000,1,1332
0x119383B0051e920D6161cEe971247D625B8D69Cb,6000,1,1332
0x70Ddb5AbF21202602b57F4860eE1262a594a0086,4000,1,1332
0x9Ba6baA919BAc9Acd901dF3Bfde848FE006D3caE,4000,1,1332
0x714D8b5874b3a6a69f289f4e857F4C9670074296,120000,1,1332
0xF2664Dfa7924d9F3895349bae785027aB9da1c87,100000,1,1332
0x4dea563a60191c7231C8C557623B320a36EbaE0c,100000,1,1332
0x473668E5F99e0E0bFa66C2C979e9cd26761f2F62,150000,1,1332
0x1eb322c016815EE5b29c071586C1B75Be5934576,100000,1,1332
0xB0AcCc44Ab20bF8e2542C23bb3d496fbFCeC849b,100000,1,1332
0xed9598A0ebC5C2aD57B5e6D53cE9C27821d3A787,20000,1,1332
0x5F97DF3e9ab3DA06CbA0107bc023Cc29CB29C14c,30000,1,1332
0x04fB4489B2d1eFf6e297e65d8Ea5E83E4a112DD5,30000,1,1332
0x191802EDd8d74F0E963b1ab778c1EC9390508cfa,30000,1,1332
0x5E262283B4499A9C40cd0d8023fFE611B73144Ca,30000,1,1332
0x0bfC69d8cD43F6e8364018fA3bE09f5d72C28D2B,20000,1,1332
0x2666C18b2D7C37fBED652E96C56d0F410f72F60b,20000,1,1332
0x46a341bd49aB1b4c566D2b02AFFf576C590Fb577,100000,1,1332
0xcd355e24De9cD03CfF3f3489bcCD5ab0aB4F6F1b,120000,1,1332
0x674d40d6A3ab98e8175891227fd3BE93355f50Ba,100000,1,1332
0x7A4c6e32C31a56bdd78DE86970180D8A0D613F57,380000,1,1332
0xa1C7bd2e48f7f3922e201705f3491C841135F483,100000,1,1332
0xcC471A9C0c10C529B409C74cb02678fa90859A4E,30000,1,1332
0x14Bc3a804b2f7E7D114AF71E4e260190af93601e,120000,1,1332
0xD8de315eB7A00f4155d1Ea9eb4eb6888Ae715631,100000,1,1332
0xE93E76578f1ee7CC998368C50875Fa00C775faa9,130000,1,1332
0x41d99f70fe069E8E16C00D827ff58d53EC43E12E,100000,1,1332
0xAc1b80e06f970879BfB8f2b92B59442593f332b6,120000,1,1332
0x9D0282C49f309550691DD9d230613815F8245671,100000,1,1332
0x9a4F0B24734F5034F705e21798451b23d1B7F746,100000,1,1332
0xAb6f255DaC71103EA6d57B320EAf0EEc901B05aA,100000,1,1332
0xfe9F4e4Fc884fBAb008947c09c6BD7ECaB1D9510,100000,1,1332
0xe4fb9ca52E39B83BE69E74E7Fac8f807A9c16eF9,100000,1,1332
0x37b8EF2DA4964886F16c6B14fC87a5C8c9ac4038,20000,1,1332
0x484AdfdA2B22B76109087bFfFcB1D120F8e045A9,100000,1,1332
0xE7611b62497c41340F4bC3fe9BfedAeF2f36b19A,100000,1,1332
0x3Ec6732676dB7996c1b34E64b0503F941025Cb63,130000,1,1332
