Voter Address,Voting Power,Choice,Total Votes
0xB853cEb4D30eBFc30924DB42d90111d51662BB8a,100000,1,1340
0xC9f2CBB967C9962937b18470e2ec8e3795b90E60,30000,1,1340
0xd4227A16B7D6d707e8eEef46FAd4D5e80894B671,30000,1,1340
0x6432c098bfedA15Dd4d0692C46bDB43091a95171,130000,1,1340
0xd7Ea94673472155bae12ED93552880BB7da0B5b7,100000,1,1340
0xBcaf219BA7C5299892b074D69398564dfdfE79f3,100000,1,1340
0x2416Cf24497E42143BAF2345d02899bFEC67a707,100000,1,1340
0xa8Ae64382973f7bd4d7Bd4D1f05dBC613024A181,30000,1,1340
0xaA538CDaDE5FC8D306342353193701Ff233Bd3Fb,100000,1,1340
0x7bcd299EaCa62673f838dEe3B81F7294a28d352d,100000,1,1340
0x5a756d9C7cAA740E0342f755fa8Ad32e6F83726b,20000,1,1340
0x3de4799501482C5df6a1f9654CD4586f0AE16586,100000,1,1340
0x0D2bF8e3D505Ac813F10316803a9Db1fEd3F71cC,30000,1,1340
0xC1c5127E430c1bB4b3101B5106d1e81A58e53939,30000,1,1340
0x7456Cf09262d80720Fd3778a1F7E50F1F3ce2929,30000,1,1340
0x59dC1eaE22eEbD6CfbD144ee4b6f4048F8A59880,130000,1,1340
0xF9Ae06309Ca551cdb2fB72831Efa2D4fE67Cec87,220000,1,1340
0xb2767a14CABD82D7AdE23F4e810a718C64acEB7f,100000,1,1340
0xeE98bdCdF20997ddb097ED4582eFED9de87739FE,100000,1,1340
0x0aB4b2f1a5cf3D72206Cc1415b8e88eF9c698423,100000,1,1340
0xc128170D8AE71d51dfaBdCCD1c0fF88444580597,100000,1,1340
0x9F32FB1C43A02B338E4345DbBf98eCa5C58b5614,20000,1,1340
0x09dCE0f0960C35eE0307D602f22EAeaFccFF209D,100000,1,1340
0xD022AFF371F2b0647b90fdAC50746d26192C4e00,100000,1,1340
0x7444b9cA731C287750348c6010CC04bA8C90112d,100000,1,1340
0x2795a604455f0DfC4Fdb30D31686C90Cd19260b4,30000,1,1340
0xbaaFdD71634824851e3f94A0B0ad66F92aE2D960,60000,1,1340
0x151F6285D5F64e491ee5F2c059B1C0E15b12D4E0,100000,1,1340
0xa31066B50399387BA8c23704fcCf0992eaF7254d,100000,1,1340
0x2D6B114c77F3355F204c37F657c680157e85dFA5,100000,1,1340
0x9c0EAafe47B609e6F2e4710Fd0Ad366E7c4fe24B,100000,2,1340
0x676BAAebd53960B04636F9602B12480E03bA0d68,30000,2,1340
0x57fcF904efC785e098676922d406e64A4e0e7ea2,100000,1,1340
0xC9341295fd754D829a5B5f272F644A257042323c,100000,1,1340
0x369E32aed1Dc5c33C85ab20977fB645A803E4A70,100000,1,1340
0x5346AFB94c08AC53dc8a18aa318Cf0383826eD68,100000,1,1340
0x011A62DC7a6C2969a764Ec1acd67081029100D57,30000,1,1340
0x652877AbA8812f976345FEf9ED3dd1Ab23268d5E,100000,1,1340
0x3b2534b8EA1f9a8BF9D9915B91bae673d161F2A5,100000,1,1340
0xAF3d3a62439a4f608e6CcEfE7Eb8b3088e723d7B,120000,1,1340
0xF9107317B0fF77eD5b7ADea15e50514A3564002B,150000,1,1340
0xc79C88386c95130bf7c20a184cb8281ed639faB4,100000,1,1340
