Voter Address,Voting Power,Choice,Total Votes
0x1CF2931a8FE933c39d15c3740A8D523F58A34b5a,30000,1,1151
0xC9341295fd754D829a5B5f272F644A257042323c,100000,1,1151
0xD9cfab54f1234AeEA22B2818AB919866A2809c1C,680000,1,1151
0xaA15E4D7cFFCE710D8c9488a355C4570dbDec32b,100000,1,1151
0x6Ec584083701936eC4383C6c902c4df45D86E7e3,100000,1,1151
0x8e3f5e7578B9e0f4B9Ab65C85568C8F80aEC95AE,100000,1,1151
0xe63Ba03F3399ccDbC346977482920c7F782649B9,100000,1,1151
0xd0B8713F219D91DFaa98A3807764E700AF5C5546,100000,1,1151
0xE37A6e88Af2a5DC2a86eEb6A03aCfB1ed34969a5,100000,1,1151
0xCa695144Ed80D2E5F10C8938c08dfFbf2516a170,100000,1,1151
0x7E8a2C10bA8901F793e900f1A0A2728a75Ccab48,100000,1,1151
0x2e102B2f815c48505E5691Fb17fb8E0459fF9d80,100000,1,1151
0x2EA58CfAE2E5623711047778524Be7Fcb371f2da,100000,1,1151
0x3Eb7F9D036De12740136DdE90727C9DFE2B8eD42,100000,1,1151
0x6432c098bfedA15Dd4d0692C46bDB43091a95171,130000,1,1151
0x822Fb53D67af805dA7b5BB77A9BEF3B19370f90C,380000,1,1151
0xa7A36406B762E0B5F1882Ed331Faa5d1D578a45c,20000,1,1151
0x9b80f176f09311B225DA3A25Fb2382bAA4d49092,60000,1,1151
0xc28F5bD7107373D3548c2C749802C11599985070,30000,1,1151
0x2f861402f749D9aDeE93d0c7d488063C3c883F96,20000,1,1151
0xACD90B178ef54b7C33b9EE6Bb27C6F9162771928,30000,1,1151
0x8EeceD3317C79BC048aD41bfF4E3284dd489b715,30000,1,1151
0x3140f12459d077b978907d76e95357f5BE3FBf79,30000,1,1151
0x40B5cDc89d15B8B39f80E69d80fBc8804732C209,30000,1,1151
0x6c1ccE8261D5e953ba4C37c5CCb482a824f90e84,30000,1,1151
0x3214275abD069082fbE7990153Fd2a547a2F5FB0,20000,1,1151
0xa78Df3E2e9d54445dDBc3c63EFAB4F4C4678F1ea,20000,1,1151
0x8880ac40A69Da54747b2c69a06F2f8373f95d933,30000,1,1151
0x257B19a1D9ccD49657693FfcBfe98C099586d9f9,30000,1,1151
0x0a6F0E4580Ab7399DB7e38b875E44795e9057e7e,20000,1,1151
0x676Bf18bEA9Bbf150Fcf1C0af220c9ed35B44009,130000,1,1151
0x126297c3585BB41A0F923f58ec6D20410540a072,30000,1,1151
0xa0ca59432070aC47a35bB203937CAAB3B7256a7A,230000,1,1151
0xABcDF518F3dEcE549994465EF0eb98f083B0fd34,30000,1,1151
0xCF38E5A052bA31739D22dFE109aff1bA8E827834,20000,1,1151
0x3aC6035B07ea39dE8AA2820d68B6368014C0356b,100000,1,1151
0x0fF67d2714b0FBbbEc4A87Bfe3b823c9fb3F887c,100000,1,1151
