Voter Address,Voting Power,Choice,Total Votes
0x88551e0e83b1A8A47Fb7b50507298B229cF12586,250000,"[3, 4, 1, 2]",1445
0x57fcF904efC785e098676922d406e64A4e0e7ea2,100000,"[1, 4, 3, 2]",1445
0xF42aD66F4b66628584f2E97421A008d62A8f116c,20000,"[1, 3, 2, 4]",1445
0xC397a2C2963e3181883B7135a7Ef1bA85E8cEb82,100000,"[1, 3, 4, 2]",1445
0x986A1de622305f441A3C763036cA06dA417FFFF4,100000,"[1, 2, 3, 4]",1445
0x6dA15DBdd8cc2c396629d0F732c06975f3244010,100000,"[1, 2, 3, 4]",1445
0x329a8DdFed3De5172b984053d4d7F64F2E2189Dc,100000,"[1, 2, 3, 4]",1445
0x3290603E448a2Ce1831A4c4E68385D5E1531aced,100000,"[1, 2, 3, 4]",1445
0xa411398B05c2d0dF6ad5B524c2Fe1d7Fa9cE6cf1,100000,"[1, 2, 3, 4]",1445
0x59A78Ffa92049631c790814B1b2c09fd6aDE56E9,100000,"[1, 3, 2, 4]",1445
0x04b6eA5a19b8945eDdC4A141408ec34C2A55a34e,100000,"[1, 2, 3, 4]",1445
0x0a9A04F289e1237c978d9ED375EeebdA73EE97b1,100000,"[4, 2, 3, 1]",1445
0xB968Ec6bd793Dd86A03d3491F0509b771d89d079,100000,"[2, 3, 1, 4]",1445
0x7158Cc374f6bAC0B0f761692262bf4B3307801C1,100000,"[1, 2, 3, 4]",1445
0x23Ad8FC2C503759B2e46Cc1002DAd07220B4bc83,100000,"[1, 3, 4, 2]",1445
0xf6a6A404FBF3EB7D21E4A78651A5C373F10097a6,100000,"[3, 1, 2, 4]",1445
0x2dC58f7Cb47B5bc558B6b0D80a03a921156BA4FC,130000,"[1, 3, 4, 2]",1445
0xE28970C7c73b4C2ef8BC15238b8b44AD40CEbF3D,100000,"[1, 3, 2, 4]",1445
0xBE35abF3bA9FF7740de1Bc1c4AEF9a8E4d16CDa2,25780000,"[1, 3, 2, 4]",1445
0x8847EBaaf29A18396e49191602f8d8D141b98aa7,120000,"[1, 3, 4, 2]",1445
0x3D9aD102B864a25B50980855C76d6A7E53D82122,30000,"[1, 3, 4, 2]",1445
0x989F69373dBC0FABB28E69BE6A0e1Bf69f030525,30000,"[3, 2, 1, 4]",1445
0xd191aFE8C2Ac2423ffDa05DBd2493D8BE571197b,20000,"[3, 2, 1, 4]",1445
0x6C974C1a51427766f2253C34826a64C972C2bcc6,20000,"[3, 2, 1, 4]",1445
0x1951F749e2366df822ADE00F668190F510f92328,6000,"[3, 2, 1, 4]",1445
0x512E3fc595514702152a113D68285d2D5146C527,20000,"[3, 2, 1, 4]",1445
0x00ff6b7D26407A46Af2b631b4fa452a036d027E5,100000,"[1, 4, 3, 2]",1445
0x052DD804D18dc7069bEdA8D0131E9675adcD28ac,6000,"[3, 2, 1, 4]",1445
0x5cf99C5f87Dc04B0E42B5C5F1c74f14F95E35E16,6000,"[3, 2, 1, 4]",1445
0xd7Ea94673472155bae12ED93552880BB7da0B5b7,100000,"[1, 3, 2, 4]",1445
0x526aB6e62A2e166a6040fcD81e24dDFd3065a538,6000,"[3, 2, 1, 4]",1445
0xc7c8e9003CE878c4011695C28a1A0E1Ee2Bb483D,20000,"[3, 4, 2, 1]",1445
0x064A768BB4e79F22BA0Dcb3c5d2421ae32D51003,20000,"[3, 4, 2, 1]",1445
0x6254Ec0CcfC603FD1e1035Aa3d224490C9a89c73,100000,"[4, 1, 2, 3]",1445
0x2416Cf24497E42143BAF2345d02899bFEC67a707,100000,"[1, 3, 2, 4]",1445
0x0cFae75F820a95527A441D8c56c7a65057136d40,20000,"[3, 2, 1, 4]",1445
0x859f74f4b4cd27C94EE298612AC203f81ee81DC5,6000,"[3, 2, 1, 4]",1445
0x84e0ad8E8ff4AA9E866dDCf1aEcDf5754Cb4bA97,100000,"[3, 1, 2, 4]",1445
0xA5Db44e5002D9558a04337f50f9212d5ce715A8A,100000,"[2, 3, 1, 4]",1445
0x7f496252c8B026c07c56e802951C7F825e59C83A,30000,"[1, 3, 2, 4]",1445
0xc1634e451585F57999316ce4566f729072EA7e24,20000,"[3, 2, 1, 4]",1445
0xC90926C9e16E1f95990196Fe8e6118bc9FF1A784,100000,"[1, 3, 2, 4]",1445
0xDF7fa906DA092cC30F868C5730c944F4D5431e17,120000,"[4, 1, 2, 3]",1445
0xF800d8407b1488BB6Dc3789c2D45147c25C38AF5,100000,"[1, 2, 3, 4]",1445
0x4694b949df0417b1202A092D5D55ECB0993aFB24,100000,"[4, 1, 3, 2]",1445
