Voter Address,Voting Power,Choice,Total Votes
0x58292DCcDb7609540B8520b60d448Fd8395740fd,100000,1,1389
0xCBa72b232Baa38696eF4B64446EaB0d7AF2c0783,100000,1,1389
0x82bf609e88eC96D8624E4c22fE1c4ceD2Ba9d03f,100000,2,1389
0x29687E2a2b38bbc1f4f9069f1f24F13a3c83d27D,100000,2,1389
0x88551e0e83b1A8A47Fb7b50507298B229cF12586,250000,1,1389
0x727b7565a8169699755e39b8b100eEFE423aEf90,100000,1,1389
0xED66081dF3f42a5e3Ce388F93815Eff87462F1CE,130000,1,1389
0xE4B8C8e33b17eC8517403852d7bb272134a2271a,100000,1,1389
0xc10A4b8389bc4720459D7D3c2a3103fD9A26caE0,20000,1,1389
0x0e024CdBA8377ACF2d83e23090e27f5F8F490497,100000,1,1389
0x6C13FC8EF50144A21702415d57ece0A09879fCFb,100000,1,1389
0x5691CCeA44Fc4a53886fF1b8666c89321f73C49D,20000,1,1389
0x7F7812B9dF0bFf9424e772Ed4d8B08a97F59D9A9,20000,1,1389
0x4168E766bdB37c67d9E2961c11Fd061697345Bac,20000,1,1389
0xeA014Dd99D6B3e8BD168f59BcC3AaDaF3f24e5D8,20000,1,1389
0xe78C381d90fabE08b59Ac79b03D83985DE90C286,20000,1,1389
0xE3cAf643993e561B66f449eb6D596165B2A8EC5A,30000,1,1389
0x4ab70E6072Bc043f86856EfDC8F30B2Bb65bB5dC,20000,1,1389
0x327b9dEe1830F8201efa751fd96F7B1aD0b300A1,120000,1,1389
0xEA7e15F1B05196306c872Be735d7A6bbE0183cb9,30000,1,1389
0x6595EcA54f4387A3438FA1b25c1e5129a6e99a68,30000,1,1389
0xc601173826faDCd4da7E21A8232Da01e7C1AbC5c,100000,1,1389
0x9bdfE468ED0d21ce9290e4b84575208e36ac0609,30000,1,1389
0x65331fa9893357A3c0459EAbb7866bAbd69C376F,280000,1,1389
0xf0Bdfd6899389449AA77cefBeD28891B12D19880,120000,1,1389
0x81B55FBe66C5FFbb8468328E924AF96a84438F14,100000,1,1389
0x04e67Fed060d12e8ab391809aaB60196e406be8a,100000,1,1389
0x410DCF5bc94A68C8de5Ae99c18A89a3a8946462c,100000,1,1389
0x4E07ebB283634233C2348ec7bB059995E6553da6,100000,1,1389
0x4a5a2B99B52Ef1160B4DFdfad1E8d7f6C4E1a08F,1580000,1,1389
0x9B62A7eD23E6e2822EE8045694ef0dB9eb099CC7,130000,1,1389
0x5F0b726D9B98a0744fE19141fea973546CD009f9,30000,1,1389
0x7c88E445fA773275eAdc619D5a6FBe12a4f40a24,100000,1,1389
0x8a2e722c2f167283E38FFee0Ee5F1a035596915f,100000,1,1389
0x0B1f8Ee2f813f06aC5fb8aad74AaCB71fb2f51FA,100000,1,1389
0x5f67ffa4b3f77DD16C9C34A1A82CaB8dAea03191,100000,1,1389
0xD6587a974C7D3ecE23Fa53d5606da6B291311F6f,100000,1,1389
0xF71EB59210eed86E727d76f434A2694238213dEB,30000,1,1389
0x3E7E3830db5D75D1a75460AD04a8245404E8909E,100000,1,1389
0xCb0d73CF08E9A8f912732a88c1Ad58758c6403ed,130000,1,1389
0xdf156DAE212d744C54d1Cd9Ae8E3c1C34A1Ba34B,20000,1,1389
0xfa2a56C6cFa68DeEA34f2640B259036fE824A2E9,100000,1,1389
0x9adcdC109dc88ADC2E1493829e1bdf59635A4692,100000,1,1389
0xBB8FB8fE5198f25D117C0e7B1b9C8260CB19C3C0,100000,1,1389
0xDf4AB06A77758F67406da68E8f799Dd587f830AC,500000,1,1389
0xAa163c47065c22D17Ed1c47E3E244337D2056c17,100000,1,1389
0xAF1bff74708098dB603e48aaEbEC1BBAe03Dcf11,380000,1,1389
0x1E663Abb7fDA53eE16f2264354cA43618E4D0dBA,20000,1,1389
0xafd46f5B6B58F41399E08aa6fF784ac16d1a0FFC,100000,1,1389
0xB4B04564f56f4795EA4e14d566aF78dA54a99980,130000,1,1389
0xF44217A8b6b3f258BFFEaD635c226528aa516aea,100000,1,1389
0x98229Be8F39E273fc1dd021687ff6D545583B94c,100000,1,1389
0x10eCd1D529f1d3C35C3deC91547E249a4b080E3F,100000,2,1389
0x11414661E194b8b0D7248E789c1d41332904f2bA,100000,1,1389
0x7205a9cBf9cAa5399dC36d23CB6A0BE54fb1ec12,100000,1,1389
0x5B443cD7739B4eb26b7dB17f9ee556d75a069401,460000,1,1389
0x8477cd6eC6af9770B352A31CAE45F73360c812e1,100000,1,1389
0x59c37E94Da9747052d4C051D1832BAb10d4AF2b5,30000,1,1389
0xbEE3C272ad4215cb352291af334dDC014BB3c20b,200000,1,1389
0x6aDdaA208Ea7c6E413F0c514DC1BA7510390C500,100000,1,1389
0xaec80B4fbE227198720b1d1B82a12968bAA0B144,100000,1,1389
0x981CaC16246D9641bE07BbA6E19E304b74B173BC,200000,1,1389
0x57fcF904efC785e098676922d406e64A4e0e7ea2,100000,1,1389
0xbAA32387bd55553Ec806622d524b12BbB8242a19,100000,1,1389
0xDaBe0bf1ef9197bc173f3Ea18122E26c11726f96,20000,1,1389
